Game ID,Home Team,Home Shots,Home Shots Used,Home CHAD,Away Team,Away Shots,Away Shots Used,Away CHAD
21500378,OKC,79,79,303.4137304,POR,92,91,309.4172386
21500379,SAS,83,47,211.4988482,WAS,84,30,248.6489057
21500380,UTA,67,65,240.5359734,NOP,73,68,227.7316879
21500381,GSW,88,88,369.8400008,PHX,91,91,347.175091
21500382,LAC,75,51,226.5840557,MIL,88,51,202.3402403
21500383,CHA,85,82,243.0515531,TOR,97,89,185.8389136
21500384,CLE,88,1,380.9292043,OKC,74,0,
21500385,LAL,84,54,253.1387349,HOU,88,49,232.6306269
21500386,IND,89,0,,BKN,86,1,763.898609
21500387,ORL,84,84,361.9767942,POR,73,71,443.5913426
21500388,PHI,77,77,354.5554943,NYK,85,85,358.4005789
21500389,BOS,77,76,240.8307714,ATL,88,85,276.0334229
21500390,MIA,74,34,217.8955296,TOR,80,38,217.8871242
21500391,CHI,120,51,204.3386515,DET,124,64,217.6631552
21500392,MIN,82,40,196.7481654,SAC,81,37,252.7800253
21500393,SAS,87,6,531.1957251,LAC,72,5,296.5967267
21500394,DAL,78,11,204.5342996,MEM,80,7,151.1793458
21500395,UTA,73,64,212.9204797,DEN,79,68,224.657039
21500396,PHX,84,0,,NOP,71,0,
21500397,GSW,87,86,306.0150613,MIL,91,90,302.6983033
21500398,OKC,84,84,357.7662337,LAL,86,86,321.3274142
21500399,WAS,79,69,196.9783231,CHA,93,84,257.3815827
21500400,NYK,82,82,319.8470654,CHI,94,94,307.8561502
21500401,HOU,76,10,252.4187907,LAC,86,12,214.6013282
21500402,MEM,83,78,229.7751789,IND,77,71,234.7493622
21500403,BKN,78,78,258.1186953,MIN,80,80,275.3633631
21500404,MIA,75,75,273.5754284,POR,80,80,298.8020387
21500405,CLE,85,85,306.3520402,PHI,86,85,344.556078
21500406,PHX,74,74,269.2444786,MIL,79,79,267.3043944
21500407,ORL,81,81,242.7911946,ATL,78,78,275.7604292
21500408,TOR,94,94,289.7672531,SAC,76,75,285.1836418
21500409,DEN,96,94,305.1621501,NOP,78,78,281.602549
21500410,WAS,83,83,287.4719115,SAC,91,91,298.0031737
21500411,BOS,89,89,269.6336603,MIN,79,78,281.587489
21500412,NYK,76,76,286.6759919,ORL,86,86,315.1623784
21500413,ATL,77,76,240.0106974,POR,81,81,231.3581962
21500414,CHI,95,91,217.8940503,BKN,94,93,256.7355442
21500415,HOU,71,69,217.2395756,CHA,83,81,269.8103377
21500416,SAS,89,88,218.1798011,IND,90,89,231.2732196
21500417,UTA,79,79,298.4001321,PHX,79,79,276.3559838
21500418,LAC,87,86,240.0927714,OKC,85,85,282.5303589
21500419,PHI,66,46,196.1946371,MEM,85,62,199.1364447
21500420,MIA,88,88,254.1957524,DET,78,78,236.4843843
21500421,TOR,74,73,237.4516614,DAL,92,92,226.8243754
21500422,DEN,90,85,265.1283008,LAL,84,82,229.9623493
21500423,CHA,81,81,275.3498323,BOS,85,85,268.0343952
21500424,CLE,83,63,245.9619396,NYK,82,49,208.011327
21500425,IND,89,66,260.175499,SAC,89,56,257.0317664
21500426,ORL,84,55,234.4612005,HOU,83,37,239.591939
21500427,WAS,82,82,280.7637899,MEM,72,72,311.7100556
21500428,BKN,101,85,238.2214067,DAL,82,78,245.4473441
21500429,ATL,89,76,241.1167957,DET,89,79,221.8962954
21500430,MIL,85,68,225.67385,PHI,81,64,225.286682
21500431,MIN,72,71,242.3810818,SAS,82,82,262.9904149
21500432,NOP,85,75,230.1510716,POR,95,90,237.9984697
21500433,PHX,87,50,202.1749648,DEN,91,69,250.5182218
21500434,GSW,83,83,304.8765375,UTA,80,80,306.9003159
21500435,LAL,89,83,252.0457996,OKC,95,93,267.9750491
21500436,MIA,88,79,240.7179346,NOP,90,88,207.2276787
21500437,OKC,96,96,303.866729,CHI,92,91,297.1190235
21500438,GSW,78,78,347.8769975,CLE,95,95,292.1734973
21500439,HOU,74,42,209.9677299,SAS,88,65,190.6271078
21500440,LAL,77,73,258.8543648,LAC,85,80,212.4151583
21500441,MIL,81,21,185.192043,TOR,81,22,256.1611453
21500442,ATL,88,57,238.8675266,NYK,81,57,212.5392068
21500443,CHA,69,68,273.8350391,MEM,90,90,207.1162322
21500444,ORL,79,11,236.2673594,MIA,77,9,286.9276644
21500445,NOP,75,36,234.3412305,HOU,84,52,254.4035035
21500446,DET,91,87,246.7278498,BOS,84,82,231.3832472
21500447,BKN,89,77,211.6615474,WAS,84,62,199.9056016
21500448,MIN,75,41,213.2935313,IND,80,58,257.6066336
21500449,DAL,87,6,292.3976104,CHI,78,2,209.101907
21500450,SAS,81,51,191.8262999,DEN,86,50,320.8949996
21500451,PHX,88,32,220.9892383,PHI,79,47,225.3437794
21500452,UTA,74,71,250.2989075,LAC,79,76,250.6849371
21500453,POR,89,84,260.5875547,CLE,77,74,221.773455
21500454,BOS,85,85,256.3262674,NYK,89,87,233.2376846
21500455,MEM,80,50,206.7507727,LAL,84,56,212.3277195
21500456,OKC,83,83,311.8702308,DEN,94,94,294.0175882
21500457,SAC,76,67,442.8088772,POR,92,85,431.6790739
21500458,CHA,89,87,250.9052074,LAL,85,84,227.1787474
21500459,IND,87,9,190.4556521,ATL,74,12,376.7320173
21500460,ORL,82,2,391.8476113,NOP,83,1,160.7841678
21500461,WAS,87,81,204.8868241,LAC,78,74,275.0171514
21500462,MIA,78,49,214.3356,BKN,82,47,201.8070406
21500463,CHI,87,43,221.3406827,TOR,88,48,197.2824606
21500464,DAL,84,0,,MIL,79,0,
21500465,SAS,72,10,225.4587531,MIN,82,4,263.9817594
21500466,PHX,79,17,228.3355903,CLE,71,24,273.8674069
21500467,UTA,84,82,238.8261208,PHI,86,82,245.0140025
21500468,GSW,89,89,348.1158013,SAC,95,95,345.8414944
21500469,NYK,79,79,290.5660876,DET,89,89,289.3766894
21500470,HOU,72,7,397.8406862,ATL,99,12,210.3215591
21500471,MEM,87,71,206.7800286,MIA,79,55,212.4587278
21500472,OKC,86,86,333.5214435,MIL,100,99,339.3598758
21500473,DEN,89,53,254.2507433,CLE,86,50,252.9668789
21500474,CHA,88,83,253.358893,LAC,71,70,238.4107224
21500475,ORL,82,0,,BKN,83,0,
21500476,BOS,88,86,247.9201404,LAL,94,90,270.0122069
21500477,TOR,82,75,231.8839407,WAS,87,73,222.1881216
